ID,Phenotype
8285,51.667
8290,44.25
8297,79
8304,34.25
8306,95
8307,64.25
8311,59.25
8312,52
8314,42.333
8325,64.333
8326,58
8334,54
8335,92.25
8337,72.5
8343,59.75
8351,97.5
8353,35.25
8354,58.75
8357,55.5
8365,39.5
8366,62.75
8369,94.667
8376,104
8378,50.333
8386,49
8387,48.333
8395,54.25
8419,58.75
8420,47.5
8422,116.25
8423,69.75
8424,80
8424,75.5
8426,40.25
8428,41.5
8430,78
8472,40.5
8584,74.75
870,62.25
88,50.5
9045,78
9057,67.5
9058,123
9061,102.667
9063,98.75
9064,107.667
9066,101
9067,130
9069,90.75
9070,88.5
9073,101.5
9075,98.25
9078,104.25
9079,102
9081,99.667
9082,100.333
9084,114.25
9085,101
9089,125.5
9090,122
9091,97.5
9094,91
9095,113.333
9096,121.333
9098,99.5
9099,112.667
9100,74
9102,80.75
9103,82.75
9104,60
9105,78.75
9106,87.5
9111,89.25
9113,70.25
9114,100.5
9115,71.75
9119,110
9120,125
9121,102
9124,118.25
9125,69.25
9128,61
9130,63.25
9131,63.5
9133,68
9134,64.5
915,43.5
9298,45.5
9312,57.5
9314,60
932,68.75
9321,140
9323,80.75
9332,129
9336,66.75
9339,116.5
9343,88
9352,134.333
9353,134
9356,118
9369,71.25
9371,145
9380,98.25
9382,110.667
9383,103
9386,107.75
9388,137
9390,55
9391,64.5
9392,59
9394,110.5
9395,118.25
9399,91
9402,78.75
9404,78.75
9405,95.5
9407,75
9408,124
9409,119.25
9412,64
9413,75
9416,129
9421,103
9427,119.5
9433,137
9434,102.25
9436,77.5
9437,90
9442,113.25
9450,78.5
9451,113.667
9452,103
9453,129.5
9454,138
9455,102.75
9470,90.5
9476,126.333
9481,121
9503,53.5
9506,69
9507,46.667
9508,60.667
9509,59
9510,55.75
9511,55
9512,40.25
9513,63.333
9514,83.333
9515,51.25
9516,58.667
9517,35.75
9518,87.5
9519,64.5
9520,120.5
9521,68
9522,60.333
9523,84.667
9524,99.667
9525,81.25
9526,56.333
9527,76.5
9528,89.5
9529,63
9530,123
9531,92
9532,108.667
9533,79
9534,65.667
9535,89
9536,103
9537,56
9538,98
9539,91.25
9540,88.25
9541,61.5
9542,107.25
9543,89.667
9544,53.5
9545,101
9547,70
9549,106.667
9550,132
9551,123
9553,106
9554,104.25
9555,100
9556,65
9557,112
9558,114.667
9559,66.5
9560,53.75
9561,92
9562,83.5
9563,73.333
9565,72.333
9566,134
9567,103.5
9568,109.5
9569,96.5
9570,104.667
9571,35.25
9572,92.5
9573,60
9575,136
9576,106.5
9577,123.5
9578,59.25
9579,79.25
9580,71
9581,118.5
9582,93.75
9583,89.5
9584,85.5
9585,32
9587,101.75
9588,79.333
9589,77.333
9590,50.5
9591,46
9592,100
9593,109
9594,110.667
9595,66.75
9596,61
9597,60.667
9598,91
9599,90.25
9600,73
9601,77
9602,75.333
9603,98
9604,134.667
9605,115.5
9606,41
9607,107.667
9608,45.25
9609,51
9610,69.5
9611,68
9612,71.5
9613,71.667
9614,86.75
9615,86
9616,110.75
9617,66
9618,85.5
9619,83
9620,74.333
9621,90.5
9622,81.667
9623,72
9624,74.333
9625,101.5
9626,70.25
9627,88.25
9628,69.25
9629,74.667
9630,79.5
9631,140
9632,90.333
9633,77
9634,98
9635,84.667
9636,141
9637,82.5
9638,87.667
9639,73.25
9640,80.75
9641,87.667
9642,86
9643,79
9644,69
9645,66.25
9646,55.25
9647,55
9648,61
9649,67.25
9650,95
9651,49.667
9652,62.5
9653,52.5
9654,59
9655,71.667
9656,89
9657,48
9658,66.5
9659,66.667
9660,40
9661,42
9662,70.333
9663,69.333
9664,109.667
9665,86.667
9666,112
9667,107
9668,79.5
9669,86
9670,112.5
9671,95
9672,90.5
9673,99.667
9674,85
9675,117
9676,89
9677,110.5
9678,87
9679,79.75
9680,59.333
9681,92.25
9682,74.75
9683,71.75
9684,89.5
9685,89.75
9686,88
9687,83.333
9688,74
9689,83
9690,81.667
9691,72.75
9692,70.75
9693,75
9694,74.25
9695,84.5
9696,76.75
9697,63
9698,74.5
9699,63.667
9700,81
9701,82
9702,72.25
9703,69.75
9704,70.333
9705,67
9706,78.667
9707,72.75
9708,85
9709,73.5
9710,83.25
9711,82.5
9712,78
9713,68.333
9714,82.333
9715,81
9716,122
9717,93.333
9718,79
9719,57.75
9720,104
9721,78
9722,108
9723,68.5
9724,81.5
9725,56.5
9726,56.5
9727,43.5
9728,77.75
9729,79
9730,97
9731,66
9732,88.25
9733,83.75
9734,82.25
9735,74
9736,81
9737,63.667
9738,73.75
9739,68.5
9740,87.5
9741,71.5
9742,81.5
9743,75
9744,63.333
9745,76
9746,99.75
9747,94.667
9748,86.25
9749,63.75
9750,73
9751,84
9752,100.25
9753,105.25
9755,82
9756,73
9757,93
9758,73
9759,58.5
9760,38.25
9761,58
9762,72.75
9764,62.75
9766,39.5
9767,59.5
9768,54.667
9769,44.667
9770,44.75
9771,44.25
9772,40.75
9773,51.75
9774,43
9775,44.25
9776,57.5
9777,43.5
9778,49.25
9779,44.667
9780,45.75
9781,41.667
9782,44.5
9783,66.333
9784,43.5
9785,45.25
9786,40.25
9787,49.333
9788,38.333
9789,42.25
9790,41.75
9791,38.333
9792,42.75
9793,63.333
9794,44.5
9795,38.25
9796,46
9797,46.5
9798,44.667
9799,50.5
9800,42.5
9801,36.333
9802,42.75
9803,41.25
9804,45.75
9805,53
9806,43
9807,43
9808,53
9809,51.25
9810,42.25
9811,45
9812,45.75
9813,45.5
9814,48.333
9815,48
9816,39
9817,63.75
9818,70.75
9819,98.5
9820,55.75
9821,72.25
9822,62.333
9823,42
9824,143
9825,63.5
9826,73
9827,60
9828,78.75
9829,83
9830,51.25
9831,88.25
9832,90.333
9833,65.667
9834,63.75
9835,69.75
9836,128.5
9837,64.25
9838,67
9839,115
9840,120.5
9841,68
9842,77
9843,58.667
9844,84.25
9845,65
9846,119.667
9847,45
9848,98
9849,99.667
9850,83
9851,144
9852,67.333
9853,35.5
9854,40.667
9855,61.667
9856,63.5
9857,66.5
9858,123.5
9859,83
9860,64.333
9861,114.5
9862,53.75
9863,39.25
9864,57.25
9865,41.5
9866,118
9867,101.667
9868,68.667
9869,80.75
9870,111
9871,117.667
9872,106
9873,55.667
9874,56.25
9875,44.75
9876,74.75
9878,116
9879,59.5
9880,87.5
9881,78.5
9882,70.333
9883,41.75
9884,91
9885,119
9886,57
9887,90.75
9888,96.667
9890,94.333
9892,84.5
9893,52.5
9894,76.667
9895,71
9896,95.667
9897,81.5
9898,97.25
9899,58
9900,50
9901,102.5
9902,110.333
9903,108.75
9904,114.667
9905,95
9906,80
9907,46.75
9908,46.5
9909,57
991,106.75
9910,43.5
9911,44.5
9913,50.75
9914,55.25
9915,75.5
9916,51.5
9917,54.25
9918,90
9919,47
992,100
9920,48.667
9921,48.25
9922,43.5
9923,50
9924,57
9925,79
9926,44.333
9927,73.25
9928,77
9929,88
9930,68.667
9931,42.333
9932,76
9933,49
9934,43
9935,73.75
9936,46.75
9937,47.75
9938,74
9939,60.75
9940,50
